N100 Ratio Engine - Day 13 Edge Cases
======================================================================
ROCE / ROE source cross-checks
Difference threshold: > 5 percentage points
Computed Ratio Engine values are analytical source of truth.
companies.xlsx values are source/display reference only.
======================================================================

ROCE ANOMALY | company=ABB | year=2024-03 | calculated=38.4188 | source=46.0000 | difference=7.5812 | category=version difference
ROCE ANOMALY | company=ADANIGREEN | year=2024-03 | calculated=9.7976 | source=96.5000 | difference=86.7024 | category=version difference
2026-09-19 13:12:19,302 | WARNING | ROCE anomaly | company=AMBUJACEM | year=2017-12 | computed=18.6413 | source=12.8000 | difference=5.8413 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,302 | WARNING | ROCE anomaly | company=AMBUJACEM | year=2018-12 | computed=17.8983 | source=12.8000 | difference=5.0983 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,302 | WARNING | ROCE anomaly | company=AMBUJACEM | year=2019-12 | computed=19.0597 | source=12.8000 | difference=6.2597 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,302 | WARNING | ROCE anomaly | company=AMBUJACEM | year=2020-12 | computed=21.5516 | source=12.8000 | difference=8.7516 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,302 | WARNING | ROCE anomaly | company=AMBUJACEM | year=2021-12 | computed=24.0409 | source=12.8000 | difference=11.2409 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,302 | WARNING | ROCE anomaly | company=APOLLOHOSP | year=2016-03 | computed=11.0931 | source=17.2000 | difference=6.1069 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,302 | WARNING | ROCE anomaly | company=APOLLOHOSP | year=2017-03 | computed=11.3993 | source=17.2000 | difference=5.8007 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,303 | WARNING | ROCE anomaly | company=APOLLOHOSP | year=2018-03 | computed=11.9928 | source=17.2000 | difference=5.2072 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,303 | WARNING | ROCE anomaly | company=APOLLOHOSP | year=2020-03 | computed=22.9383 | source=17.2000 | difference=5.7383 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,303 | WARNING | ROCE anomaly | company=APOLLOHOSP | year=2022-03 | computed=22.5880 | source=17.2000 | difference=5.3880 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,303 | WARNING | ROCE anomaly | company=ASIANPAINT | year=2013-03 | computed=47.7854 | source=41.7500 | difference=6.0354 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,303 | WARNING | ROCE anomaly | company=ASIANPAINT | year=2017-03 | computed=36.6732 | source=41.7500 | difference=5.0768 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,303 | WARNING | ROCE anomaly | company=ASIANPAINT | year=2018-03 | computed=35.8269 | source=41.7500 | difference=5.9231 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,303 | WARNING | ROCE anomaly | company=ASIANPAINT | year=2019-03 | computed=34.8902 | source=41.7500 | difference=6.8598 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,303 | WARNING | ROCE anomaly | company=ASIANPAINT | year=2021-03 | computed=34.9378 | source=41.7500 | difference=6.8122 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,303 | WARNING | ROCE anomaly | company=ASIANPAINT | year=2022-03 | computed=31.1968 | source=41.7500 | difference=10.5532 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,303 | WARNING | ROCE anomaly | company=ASIANPAINT | year=2023-03 | computed=34.9233 | source=41.7500 | difference=6.8267 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,303 | WARNING | ROCE anomaly | company=ASIANPAINT | year=2024-03 | computed=35.7749 | source=41.7500 | difference=5.9751 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,303 | WARNING | ROCE anomaly | company=ATGL | year=2018-03 | computed=15.5019 | source=21.2000 | difference=5.6981 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,303 | WARNING | ROCE anomaly | company=ATGL | year=2019-03 | computed=30.4144 | source=21.2000 | difference=9.2144 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,303 | WARNING | ROCE anomaly | company=ATGL | year=2020-03 | computed=31.3323 | source=21.2000 | difference=10.1323 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,303 | WARNING | ROCE anomaly | company=ATGL | year=2021-03 | computed=28.5830 | source=21.2000 | difference=7.3830 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,303 | WARNING | ROCE anomaly | company=BAJAJ-AUTO | year=2013-03 | computed=44.6889 | source=33.5000 | difference=11.1889 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,303 | WARNING | ROCE anomaly | company=BAJAJ-AUTO | year=2014-03 | computed=40.7100 | source=33.5000 | difference=7.2100 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,303 | WARNING | ROCE anomaly | company=BAJAJ-AUTO | year=2017-03 | computed=24.6384 | source=33.5000 | difference=8.8616 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,303 | WARNING | ROCE anomaly | company=BAJAJ-AUTO | year=2018-03 | computed=23.5861 | source=33.5000 | difference=9.9139 | category=REVIEW_REQUIRED
